id;email;tag;first_name;last_name;birth_date;minimal_age;maximal_age
4c0e83d8-e8e0-4d17-a27a-84b134759417;4c0e83d8-e8e0-4d17-a27a-84b134759417@gmail.com;4c0e83d8-e8e0-4d17-a27a-84b134759417;4c0e83d8-e8e0-4d17;a27a-84b134759417;1980-2-11;25;60
e43b844b-feed-4425-8e26-4d8dffa1f55f;e43b844b-feed-4425-8e26-4d8dffa1f55f@gmail.com;e43b844b-feed-4425-8e26-4d8dffa1f55f;e43b844b-feed-4425;8e26-4d8dffa1f55f;1971-9-16;23;59
948eef3b-7467-4046-9057-1323fcd9b5ef;948eef3b-7467-4046-9057-1323fcd9b5ef@gmail.com;948eef3b-7467-4046-9057-1323fcd9b5ef;948eef3b-7467-4046;9057-1323fcd9b5ef;1960-9-21;24;57
70b9e434-f5ba-4068-bb12-40c0196ad693;70b9e434-f5ba-4068-bb12-40c0196ad693@gmail.com;70b9e434-f5ba-4068-bb12-40c0196ad693;70b9e434-f5ba-4068;bb12-40c0196ad693;1992-6-19;25;64
d336878c-24aa-4484-b161-c324a4016a6c;d336878c-24aa-4484-b161-c324a4016a6c@gmail.com;d336878c-24aa-4484-b161-c324a4016a6c;d336878c-24aa-4484;b161-c324a4016a6c;1981-4-12;23;70
6a19f250-44ae-424d-9985-e3f6487f69af;6a19f250-44ae-424d-9985-e3f6487f69af@gmail.com;6a19f250-44ae-424d-9985-e3f6487f69af;6a19f250-44ae-424d;9985-e3f6487f69af;1984-6-16;25;55
0581ef11-28df-4db6-b29e-a83bbc7d2ec4;0581ef11-28df-4db6-b29e-a83bbc7d2ec4@gmail.com;0581ef11-28df-4db6-b29e-a83bbc7d2ec4;0581ef11-28df-4db6;b29e-a83bbc7d2ec4;1987-5-13;23;59
49b8cd94-76ac-4d7a-bd63-888ec8edcecf;49b8cd94-76ac-4d7a-bd63-888ec8edcecf@gmail.com;49b8cd94-76ac-4d7a-bd63-888ec8edcecf;49b8cd94-76ac-4d7a;bd63-888ec8edcecf;1990-5-23;24;64
25a9d74c-1a15-4b55-9e74-e133682a6243;25a9d74c-1a15-4b55-9e74-e133682a6243@gmail.com;25a9d74c-1a15-4b55-9e74-e133682a6243;25a9d74c-1a15-4b55;9e74-e133682a6243;2002-8-11;25;65
647688a9-41bd-499f-a9ab-f40cb8e0c297;647688a9-41bd-499f-a9ab-f40cb8e0c297@gmail.com;647688a9-41bd-499f-a9ab-f40cb8e0c297;647688a9-41bd-499f;a9ab-f40cb8e0c297;1979-11-17;23;63
0f3fd3e8-e3fc-4ec0-a2d8-490ae44805e1;0f3fd3e8-e3fc-4ec0-a2d8-490ae44805e1@gmail.com;0f3fd3e8-e3fc-4ec0-a2d8-490ae44805e1;0f3fd3e8-e3fc-4ec0;a2d8-490ae44805e1;1967-11-2;18;68
90195272-2f52-43a2-86a2-48647a3bf49a;90195272-2f52-43a2-86a2-48647a3bf49a@gmail.com;90195272-2f52-43a2-86a2-48647a3bf49a;90195272-2f52-43a2;86a2-48647a3bf49a;1995-1-6;21;62
afe8c8ac-58b0-4b61-bf9f-ca5482421324;afe8c8ac-58b0-4b61-bf9f-ca5482421324@gmail.com;afe8c8ac-58b0-4b61-bf9f-ca5482421324;afe8c8ac-58b0-4b61;bf9f-ca5482421324;1987-4-1;20;70
3f6bb570-6990-4a33-873e-2a972ba4f138;3f6bb570-6990-4a33-873e-2a972ba4f138@gmail.com;3f6bb570-6990-4a33-873e-2a972ba4f138;3f6bb570-6990-4a33;873e-2a972ba4f138;2004-12-16;20;66
4b7cb0ba-68f8-4c90-b9be-a8e6e055a179;4b7cb0ba-68f8-4c90-b9be-a8e6e055a179@gmail.com;4b7cb0ba-68f8-4c90-b9be-a8e6e055a179;4b7cb0ba-68f8-4c90;b9be-a8e6e055a179;1974-7-21;25;60
8f67853c-101c-4d78-a88a-bf66a3ffe701;8f67853c-101c-4d78-a88a-bf66a3ffe701@gmail.com;8f67853c-101c-4d78-a88a-bf66a3ffe701;8f67853c-101c-4d78;a88a-bf66a3ffe701;1974-11-7;24;61
0572fa9e-5b0f-414e-bc5e-647c627f3fbc;0572fa9e-5b0f-414e-bc5e-647c627f3fbc@gmail.com;0572fa9e-5b0f-414e-bc5e-647c627f3fbc;0572fa9e-5b0f-414e;bc5e-647c627f3fbc;1979-3-10;21;68
21bb2120-bcf5-4890-be3d-b0403c0dea38;21bb2120-bcf5-4890-be3d-b0403c0dea38@gmail.com;21bb2120-bcf5-4890-be3d-b0403c0dea38;21bb2120-bcf5-4890;be3d-b0403c0dea38;2003-4-27;19;67
108f54bb-6572-4805-922d-fa4af3e35eff;108f54bb-6572-4805-922d-fa4af3e35eff@gmail.com;108f54bb-6572-4805-922d-fa4af3e35eff;108f54bb-6572-4805;922d-fa4af3e35eff;1970-3-3;23;60
b1b6a330-a1e5-4b44-84f1-44fd9eb259a1;b1b6a330-a1e5-4b44-84f1-44fd9eb259a1@gmail.com;b1b6a330-a1e5-4b44-84f1-44fd9eb259a1;b1b6a330-a1e5-4b44;84f1-44fd9eb259a1;1962-4-8;21;63
992a8aa7-e56c-4c5f-86b4-8febbdb7c391;992a8aa7-e56c-4c5f-86b4-8febbdb7c391@gmail.com;992a8aa7-e56c-4c5f-86b4-8febbdb7c391;992a8aa7-e56c-4c5f;86b4-8febbdb7c391;1964-11-15;21;55
ece882d6-0542-4e04-822a-6ea21654b67b;ece882d6-0542-4e04-822a-6ea21654b67b@gmail.com;ece882d6-0542-4e04-822a-6ea21654b67b;ece882d6-0542-4e04;822a-6ea21654b67b;1988-3-17;21;66
19f8b0d2-c4d2-4343-a94d-550b2a00bb76;19f8b0d2-c4d2-4343-a94d-550b2a00bb76@gmail.com;19f8b0d2-c4d2-4343-a94d-550b2a00bb76;19f8b0d2-c4d2-4343;a94d-550b2a00bb76;1993-1-21;25;63
fd32edda-e87d-4407-a19c-79a190400866;fd32edda-e87d-4407-a19c-79a190400866@gmail.com;fd32edda-e87d-4407-a19c-79a190400866;fd32edda-e87d-4407;a19c-79a190400866;1976-9-14;18;60
23e33d8d-71a1-488a-8702-b9525b1be082;23e33d8d-71a1-488a-8702-b9525b1be082@gmail.com;23e33d8d-71a1-488a-8702-b9525b1be082;23e33d8d-71a1-488a;8702-b9525b1be082;1984-10-8;22;66
5dd7a3e3-e812-4a95-b2a6-61a32f7c424b;5dd7a3e3-e812-4a95-b2a6-61a32f7c424b@gmail.com;5dd7a3e3-e812-4a95-b2a6-61a32f7c424b;5dd7a3e3-e812-4a95;b2a6-61a32f7c424b;1996-6-27;22;67
08beea64-8bef-439b-90d6-848a08b9abd1;08beea64-8bef-439b-90d6-848a08b9abd1@gmail.com;08beea64-8bef-439b-90d6-848a08b9abd1;08beea64-8bef-439b;90d6-848a08b9abd1;1969-6-25;25;63
fc087e89-13ec-41c2-a583-4e35a4d65bfd;fc087e89-13ec-41c2-a583-4e35a4d65bfd@gmail.com;fc087e89-13ec-41c2-a583-4e35a4d65bfd;fc087e89-13ec-41c2;a583-4e35a4d65bfd;2003-6-17;24;66
